order_id,shop_id,user_id,order_amount,total_items,payment_method,created_at,date,time_order
1,53,746,224,2,cash,03/13/2017 12:36,13/03/2017,12:36 PM
2,92,925,90,1,cash,03/03/2017 17:38,03/03/2017,5:38 PM
3,44,861,144,1,cash,03/14/2017 4:23,14/03/2017,4:23 AM
4,18,935,156,1,credit_card,03/26/2017 12:43,26/03/2017,12:43 PM
5,18,883,156,1,credit_card,03/01/2017 4:35,01/03/2017,4:35 AM
6,58,882,138,1,credit_card,03/14/2017 15:25,14/03/2017,3:25 PM
7,87,915,149,1,cash,03/01/2017 21:37,01/03/2017,9:37 PM
8,22,761,292,2,cash,03/08/2017 2:05,08/03/2017,2:05 AM
9,64,914,266,2,debit,03/17/2017 20:56,17/03/2017,8:56 PM
10,52,788,146,1,credit_card,03/30/2017 21:08,30/03/2017,9:08 PM
11,66,848,322,2,credit_card,03/26/2017 23:36,26/03/2017,11:36 PM
12,40,983,322,2,debit,03/12/2017 17:58,12/03/2017,5:58 PM
13,54,799,266,2,credit_card,03/16/2017 14:15,16/03/2017,2:15 PM
14,100,709,111,1,cash,03/22/2017 2:39,22/03/2017,2:39 AM
15,87,849,447,3,credit_card,03/10/2017 11:23,10/03/2017,11:23 AM
16,42,607,704000,2000,credit_card,03/07/2017 4:00,07/03/2017,4:00 AM
17,17,731,176,1,cash,03/21/2017 4:23,21/03/2017,4:23 AM
18,28,752,164,1,credit_card,03/21/2017 12:09,21/03/2017,12:09 PM
19,83,761,258,2,cash,03/17/2017 13:18,17/03/2017,1:18 PM
20,63,898,408,3,credit_card,03/29/2017 15:11,29/03/2017,3:11 PM
21,66,987,322,2,cash,03/30/2017 20:11,30/03/2017,8:11 PM
22,97,789,486,3,credit_card,03/04/2017 15:44,04/03/2017,3:44 PM
23,88,985,704,4,credit_card,03/22/2017 1:19,22/03/2017,1:19 AM
24,75,964,256,2,credit_card,03/12/2017 3:07,12/03/2017,3:07 AM
25,73,917,495,3,cash,03/03/2017 13:01,03/03/2017,1:01 PM
26,82,848,177,1,cash,03/25/2017 21:35,25/03/2017,9:35 PM
27,47,882,145,1,cash,03/22/2017 7:38,22/03/2017,7:38 AM
28,53,942,112,1,credit_card,03/17/2017 9:41,17/03/2017,9:41 AM
29,40,944,322,2,cash,03/05/2017 2:12,05/03/2017,2:12 AM
30,59,790,178,1,credit_card,03/04/2017 22:49,04/03/2017,10:49 PM
31,76,857,310,2,cash,03/23/2017 21:34,23/03/2017,9:34 PM
32,57,839,294,2,debit,03/19/2017 5:31,19/03/2017,5:31 AM
33,76,712,465,3,credit_card,03/10/2017 23:54,10/03/2017,11:54 PM
34,7,800,224,2,credit_card,03/03/2017 5:31,03/03/2017,5:31 AM
35,34,704,244,2,debit,03/13/2017 0:00,13/03/2017,12:00 AM
36,61,781,316,2,cash,03/08/2017 15:57,08/03/2017,3:57 PM
37,84,979,459,3,credit_card,03/05/2017 22:44,05/03/2017,10:44 PM
38,66,961,322,2,credit_card,03/14/2017 6:04,14/03/2017,6:04 AM
39,10,921,148,1,credit_card,03/06/2017 5:51,06/03/2017,5:51 AM
40,61,756,316,2,credit_card,03/07/2017 17:03,07/03/2017,5:03 PM
41,42,793,352,1,credit_card,03/24/2017 14:15,24/03/2017,2:15 PM
42,1,847,316,2,debit,03/20/2017 14:58,20/03/2017,2:58 PM
43,18,934,624,4,debit,03/21/2017 6:59,21/03/2017,6:59 AM
44,21,792,284,2,credit_card,03/08/2017 4:16,08/03/2017,4:16 AM
45,99,759,195,1,credit_card,03/02/2017 8:13,02/03/2017,8:13 AM
46,29,969,652,4,credit_card,03/04/2017 8:58,04/03/2017,8:58 AM
47,33,954,346,2,cash,03/25/2017 14:18,25/03/2017,2:18 PM
48,52,791,438,3,cash,03/05/2017 15:50,05/03/2017,3:50 PM
49,3,714,296,2,debit,03/20/2017 16:48,20/03/2017,4:48 PM
50,64,768,399,3,debit,03/02/2017 17:26,02/03/2017,5:26 PM
51,58,984,276,2,debit,03/23/2017 7:05,23/03/2017,7:05 AM
52,81,959,531,3,cash,03/25/2017 22:58,25/03/2017,10:58 PM
53,30,968,459,3,cash,03/28/2017 8:15,28/03/2017,8:15 AM
54,33,842,692,4,debit,03/08/2017 7:36,08/03/2017,7:36 AM
55,79,823,181,1,cash,03/25/2017 4:47,25/03/2017,4:47 AM
56,51,851,561,3,credit_card,03/13/2017 5:05,13/03/2017,5:05 AM
57,53,739,560,5,credit_card,03/18/2017 8:45,18/03/2017,8:45 AM
58,51,759,187,1,cash,03/30/2017 22:34,30/03/2017,10:34 PM
59,47,837,145,1,credit_card,03/13/2017 6:35,13/03/2017,6:35 AM
60,80,908,145,1,debit,03/27/2017 9:03,27/03/2017,9:03 AM
61,42,607,704000,2000,credit_card,03/04/2017 4:00,04/03/2017,4:00 AM
62,60,720,531,3,debit,03/21/2017 18:08,21/03/2017,6:08 PM
63,86,981,260,2,debit,03/24/2017 6:11,24/03/2017,6:11 AM
